"PwsAccountNumberName","CustomerID","DateCreated","DatePosted","DateDue","Terms","BillTo","ShipTo","WebLink","FooterMemo","CustomerReference","ReferenceNumber","BillingPeriod","Element","Quantity","Rate","Amount","Memo","Class","AccountLabel"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 1 MB MRC","92.0","1.50","138.0","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41102"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SMS","11","0.25","2.75","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41106"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SCHG-FEE","1","15.4422","15.4422","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41104"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 2 MB MRC","2.0","8.00","16.0","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41102"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SCHG-FEE","1","1.7904","1.7904","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41104"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ATT 2 MB MRC","1539.0","4.00","6156.0","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41102"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ATT 1 MB DATA-OVG","182533","0.013183","2406.332539","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41103"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ATT SCHG-FEE","1","16.2684318241","16.2684318241","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41104"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-ENPR","1","49.00","49.0","Lattigo Management Portal - enterprise","PLAT_SVC--Platform Services","41110"
"10000000-000001:Podsystems","C-0891","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Podsystem","SVCS_Podsystem","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","PROMO-LATTIGO","1","-49.00","-49.0","Discount - Management Portal / API","PLAT_SVC--Platform Services","41110"
