Customer,July (org),July (new),August (org),August (new),September (org),September (new),July Delta,August Delta,September Delta
45873580-134293:iRhythm Technologies,23603.25495,47084.99487,23577.40443,40706.14609,23526.03465,43329.66302,-23481.73992,-17128.74167,-19803.62838
12333475-619433:Carbon Health,2540.069879,5809.324905,2643.395179,8345.901179,2450.895,16969.3597,-3269.255026,-5702.506,-14518.4647
75134833-159074:TripShot,13386.00798,20392.23729,13405.846,23253.30752,13405.846,23163.95191,-7006.229307,-9847.461519,-9758.10591
88124576-830088:One Medical,131.58338,7226.23738,1141.671696,8790.299211,2975.437395,9980.344395,-7094.654,-7648.627515,-7004.907
74276946-581653:Software Motor Company (SMC),8131.471,8475.083,9429.935949,15100.65033,13134.72105,19171.95905,-343.612,-5670.71438,-6037.238
40679474-239802:CaptiveAire,31337.21383,34024.30434,30956.15778,34580.05256,30960.4347,35660.00386,-2687.090511,-3623.89478,-4699.56916
39333472-650787:Hornblower Group,16571.088,16571.088,19716.338,19757.50054,15065.088,19583.32964,0,-41.162538,-4518.241643
89765540-126031:Parcel Pending,9838.8204,12296.00821,10668.7405,14230.38396,9824.2445,14024.83556,-2457.18781,-3561.643462,-4200.59106
44673270-206896:Greenlots,51277.22483,53463.06781,53921.27326,56586.83441,62965.39366,67076.58056,-2185.842973,-2665.561147,-4111.186893
51279001-243131:Secured Mobility LLC,21.791069,1533.975586,51.426525,2903.660452,60.401,3725.788,-1512.184517,-2852.233927,-3665.387
73977787-764445:DMG (BofA),85195.92777,87060.70723,83908.23752,84460.30948,79414.24446,82840.11367,-1864.779465,-552.071955,-3425.869212
50296523-108488:Augmedix,17305.688,18995.58914,10011.624,12947.04,10011.624,12947.04,-1689.901144,-2935.416,-2935.416
52544143-194102:Embark Trucks,2456.394667,4697.213468,5029.549497,7531.438297,4562.70829,7455.34379,-2240.8188,-2501.8888,-2892.6355
28282838-717717:Pelican Advisors LLC,300.179,1200.716,372.179,1736.581514,714.179,3383.112908,-900.537,-1364.402514,-2668.933908
"13910484-825295:Elite Interactive Solutions, LLC",9473.558,9787.274448,9479.058,10317.23064,9490.808,12141.78445,-313.716448,-838.172636,-2650.976454
33270376-952355:Zoom Systems (Swyftstore),16082.1304,17202.9256,15170.8874,17103.3696,14393.373,16681.6632,-1120.7952,-1932.4822,-2288.2902
48729751-880239:Riivet,2257.311734,3125.279857,2586.675874,5041.221642,2377.1326,4660.5336,-867.968123,-2454.545768,-2283.401
26670943-366806:Starship Technologies,13951.246,15554.048,15764.943,17594.41495,12324.43774,14313.64156,-1602.802,-1829.471946,-1989.203819
91698704-405385:SYNCROMATICS,32083.11191,32385.31191,23895.87118,25451.73398,21910.804,23740.175,-302.2,-1555.862802,-1829.371
79883992-257240:XL Construction,0,1800.537,0,1800.537,0,1800.537,-1800.537,-1800.537,-1800.537
23623565-703881:Locus Energy (Also Energy),9975.524892,10099.19057,11994.70452,12944.58046,10158.65082,11871.50942,-123.6656732,-949.8759334,-1712.8586
"48648265-200201:Rockford Rigging, Inc",29,29,29,29,29,1668.101259,0,0,-1639.101259
93189816-711389:MATRIX NETWORKS,846.338512,1957.360056,597.506,1885.788317,643.7674248,2242.287365,-1111.021544,-1288.282317,-1598.51994
15815284-841258:Postmates,14302.24589,15056.75899,14326.55236,15539.45735,14383.78241,15780.77357,-754.513102,-1212.904996,-1396.99116
