Rate Plan	Pws cost	New Cost
PGH VZW 200GB :: 94b26328-6b5c-46a2-9402-2b2ac12af01f	960	484.25
Podsystems ATT 2MB	2.99	
PGHWong :: VZW :: PublicStatic :: 200Gb	960	484.25
Brightline ATT 10GB	50	
Brightline ATT 2GB	23	
Sprocket ATT 1MB	2.99	
Kinetrex Energy-VZW-PUBS-200GB	960	484.25
Wells Electrical-VZW-PUBS-200GB	960	484.25
First Fleet ATT 1MB	2.99	
PGH VZW 150GB :: f33be20c-9c63-46b0-b43f-d7d0618606c0	720	363.25
First Fleet SWI 1MB	0.28	
IP Source ATT 2MB	2.99	
F&C Distributors-VZW-PUBS-200GB	801	484.25
Viptela ATT 1GB	8	
Gravitate Productions-VZW-DIA-200GB	800.25	484.25
Creative Coach ATT 10GB	50	
Hornblower-VZW-PUBS-100GB :: 81327011-696f-474c-895e-7ae26a01cc49	480	242.25
GSV ATT 15MB	3.15	
Thousand Eyes VZW 100GB :: Public Dynamic	480	242.25
Rio ATT 1GB	8	
Carbon Health VZW DIA 100GB	480	242.25
PWS ATT DEMO	2.99	
PWS VF DEMO	0.75	
PWS SWIR DEMO	0.28	
PWS TMO DEMO	0.5	
PWS TELUS DEMO	38	
XL Construction :: VZW Public Dynamic :: 100GB	480	242.25
"Dexterity, Inc.-Verizon-Public Dynamic-100GB"	480	242.25
Elliot Bay ATT 2GB	23	
CIS ATT 250MB	5.5	
CIS ATT 1GB	8	
CIS ATT 5GB	30	
CIS ATT 15GB	120	
CIS ATT 10GB	50	
Dexterity-VZW-PUBS-100GB	480	242.25
NextBus ATT 2MB	2.99	
SaverGlass-VZW-PUBS-100GB	480	242.25
Nextbus VF 20MB	3.64	
Rockford Rigging-VZW-PUBD-100GB	480	242.25
NextBus SWI Demo	0.28	
Scott Inukai (Marathon)-VZW-PUBS-100GB	480	242.25
Kinetrex Energy-VZW-PUBS-100GB	480	242.25
Smartsource ATT 10GB	50	
Smartsource ATT 5GB	30	
RGW CONST :: VZWPublic :: (529) :: 80 GB	384	193.85
Aptonomy VZW DIA 75GB	360	181.75
TVU ATT 2MB	2.99	
TVU Sierra Demo :: de945a78-4510-4f50-a191-18972013f9e1	0	
Prosoft ATT 250MB	5.5	
Skool Live ATT 1GB	8	
Major Cement-VZW-PUBS-75GB	360	181.75
Skool Live ATT 1MB	2.99	
Jolly Road ATT 10GB	50	
Lakeview Pantry-VZW-PUBD-50GB	290	121.25
Jolly Road ATT 250MB	5.5	
Country Agency-VZW-PUBS-100GB	401	242.25
San Antonio Hispanic C.O.C-VZW-PUBS-100GB	400.25	242.25
 One Diversified-ATT-DIA-1GB	8	
 One Diversified-TMO-PUBS-1GB	7	
3rdAV ATT 10GB	50	
Gabelsberg ATT 250MB	5.5	
