rate_plan_id,paid_out
662,2
975,2
1235,2
1657,2
1754,2
818,3
1064,3
1728,3
60,4
1420,4
1804,4
1624,5
1670,5
1687,5
1623,6
1631,6
1772,6
1117,7
1612,8
1664,8
555,9
1633,9
1767,9
625,11
1560,11
487,12
556,12
795,12
1788,12
1810,12
1653,13
1685,13
1579,14
1752,15
1636,16
1663,16
1808,18
1016,20
1503,21
1691,21
1124,23
1543,23
384,24
1776,24
1654,28
1730,28
112,29
280,29
1539,33
913,35
1713,35
1766,35
1647,36
109,37
1289,39
1618,39
1639,40
523,43
1576,44
1018,47
1493,49
809,51
1718,52
236,67
1347,67
374,68
1764,71
311,73
1260,73
560,75
1433,78
85,79
54,81
1315,104
641,115
892,116
1683,130
1533,135
1688,136
1426,158
668,166
1658,186
1093,193
1463,201
1586,206
738,220
389,229
1470,264
274,312
1060,338
1671,343
1617,372
863,416
1406,422
123,444
131,505
501,559
81,631
316,652
171,678
1425,738
1637,811
1619,823
1753,861
1646,924
361,1124
1199,1170
1814,1172
546,1382
1169,1456
1127,2261
605,2557
286,3337
877,4208
1479,5088
1486,12453
538,17375
1457,1
1702,1
1706,1
1743,1
1777,1
1781,1
1784,1
1789,1
1801,1
1820,1
1827,1
1829,1
1831,1
1887,1
1888,1
1890,1
1891,1
1904,1
1906,1
1908,1
1909,1
1910,1
1913,1
1916,1
1917,1
1919,1
1920,1
1922,1
1924,1
1928,1
1931,1
1934,1
1782,2
1783,2
1793,2
1813,2
1818,2
1830,2
1834,2
1856,2
1867,2
1893,2
1896,2
1925,2
1933,2
1938,2
1942,2
1948,2
1949,2
1682,3
1773,3
1852,3
1885,3
1897,3
1918,3
1935,3
1819,4
1921,5
1462,7
1815,7
1816,7
1835,7
1941,7
1825,9
1876,9
1915,9
1873,10
1907,10
1912,10
1889,11
1845,12
1932,14
1842,17
1902,18
1868,19
1837,21
1771,24
1778,26
1863,36
1786,37
1855,72
1892,164
1886,431
1840,674
1898,712
1412,88977
1413,23079
476,55648
444,8623
13,3602
1411,3055
1823,2740
651,133
1111,837
16,502
1927,5906
1911,1342
124,283
1325,292
298,4484
1601,2760
610,353
1689,681
65,364
428,203
865,459
461,196
1616,365
638,153
1419,66
322,65
1926,0
263,64
1765,50
1451,203
1768,2493
92,798
614,57
172,52
148,41
33,36
331,35
431,44
1763,178
1592,86
10,29
1527,66
1644,71
1672,25
27,51
37,21
633,983
58,36
1569,20
83,18
320,1788
1734,46
1534,70
126,14
551,901
1667,21
1847,14
1418,13
222,18
1871,12
613,13
438,12
1666,30
38,21
1674,10
1870,0
132,10
264,9
419,20
15,8
328,8
1587,97
24,7
55,25
49,7
1762,68
41,26
219,6
80,4267
125,6
1595,6
1858,6
84,5
313,5
327,5
1611,5
1416,5
36,5
916,285
1630,15
920,21
1877,0
1937,0
424,4
639,4
630,4
1655,8
1693,13
28,9
30,12
1700,4
1874,76
82,3
99,3
363,3
45,3
47,3
247,4
273,8
277,4
552,4
627,3
136,95
122,688
1669,150
133,2
474,2
74,2
75,2
43,2
1401,2
1635,3
278,4
1437,2
279,3
1458,11
572,6
1445,2
135,51
1062,2
1026,2
31,3
405,2
412,106
1758,5
1850,2
22,1
103,1
104,1
113,1
397,1
416,1
417,1
421,1
434,1
465,1
530,1
1563,1
1660,1
51,1
72,1
40,1
1251,5
98,2
248,1854
267,74
255,1
290,1
291,2
292,1
296,2
238,4
210,1
1424,2
542,3
26,1
512,3
540,1
372,4
1379,8
388,5
500,26
95,10
318,322
164,1
1183,3
224,1
166,1
78,430
939,12
1555,1788
1558,3
1736,2
1737,1
1760,1
1761,7
1785,1
1849,1
1857,1
1860,1
1895,1
1936,1
127,0
20,1
9,2
5,7
21,57
17,309
11,0
12,0
14,0
18,0
23,1
314,0
326,0
330,0
340,0
354,0
373,0
381,0
413,0
415,0
418,0
426,0
452,0
466,0
468,0
470,0
508,0
526,0
531,0
567,0
765,0
1572,0
1575,0
1582,0
1593,0
1606,0
1610,0
1613,0
1662,0
1673,0
1703,0
1756,0
52,0
56,0
57,0
59,4
62,4
61,650
63,9
64,0
66,0
69,0
71,0
73,0
42,21
44,0
46,0
48,0
50,0
76,1
77,0
39,9
1342,1
1071,18
1415,0
68,0
485,0
1410,0
1417,0
1464,1
1102,0
1326,0
1322,2
1374,1
497,10
207,0
67,0
1333,3
1288,1
1366,0
505,3
167,0
1266,4
1461,0
486,2
848,1
1373,1
25,0
266,0
1450,0
1205,0
257,2
256,0
297,0
100,1
134,1
332,1
334,1
335,1
356,1
366,1
371,1
376,1
386,1
401,1
406,1
422,1
430,1
447,1
448,1
464,1
513,1
514,1
515,1
522,1
527,1
533,1
561,1
565,1
617,1
620,1
632,1
672,1
707,1
