deletions,insertions,reads,updates
2,36,609,607
1,41,629,628
1,27,633,632
2,26,634,632
1,29,608,607
1,37,547,546
1,37,481,480
2,41,497,495
2,24,491,489
1,34,479,478
1,31,488,487
7,45,438,431
1,19,406,405
1,53,416,415
1,37,229,228
0,26,230,230
0,23,188,188
0,37,20,20
0,20,10,10
0,41,29,29
0,46,24,24
0,45,35,35
0,38,22,22
0,35,15,15
0,40,20,20
0,29,174,174
0,28,221,221
0,30,222,222
0,47,376,376
0,25,434,434
0,40,449,449
0,30,443,443
0,25,436,436
0,24,437,437
0,27,412,412
0,44,433,433
0,55,439,439
0,22,425,425
0,29,415,415
0,271,419,419
0,75,424,424
0,35,430,430
0,38,455,455
0,28,452,452
0,244,385,385
0,44,239,239
0,26,220,220
0,28,199,199
0,21,19,19
0,74,22,22
0,250,24,24
0,42,21,21
0,15,10,10
0,30,23,23
0,61,20,20
0,159,167,167
0,118,217,217
0,33,219,219
0,38,231,231
0,34,405,405
0,83,443,443
0,208,420,420
0,32,427,427
0,36,421,421
0,37,433,433
0,42,428,428
0,25,426,426
0,21,412,412
0,19,430,430
0,34,437,437
0,37,441,441
0,37,438,438
0,46,436,436
0,57,434,434
0,33,415,415
0,56,243,243
0,41,236,236
0,39,236,236
0,44,141,141
0,30,17,17
0,39,24,24
0,23,18,18
0,27,22,22
0,22,17,17
0,26,18,18
0,26,19,19
0,40,189,189
0,41,236,236
0,42,211,211
0,24,213,213
0,29,207,207
0,25,400,400
0,28,429,429
0,40,427,427
0,40,556,556
0,37,619,619
0,26,620,620
0,31,606,606
0,21,561,561
0,47,502,502
0,52,498,498
0,36,498,498
0,60,515,515
0,38,512,512
0,29,519,519
0,31,493,493
0,19,519,519
0,25,499,499
0,537,357,357
0,889,246,246
0,901,278,278
0,799,286,286
0,756,265,265
0,930,226,226
0,927,216,216
0,939,203,203
0,917,182,182
0,983,161,161
0,962,221,221
0,983,173,173
0,986,163,163
0,877,261,261
0,919,220,220
0,860,281,281
0,834,334,334
0,419,724,724
0,87,419,419
0,87,442,442
0,35,474,474
0,23,466,466
0,47,453,453
0,37,474,474
0,42,476,476
0,56,474,474
0,25,474,474
0,18,458,458
0,33,464,464
0,32,467,467
0,41,467,467
0,33,477,477
0,36,476,476
0,29,475,475
0,43,480,479
0,32,477,478
0,16,479,479
0,15,477,477
0,17,435,435
0,43,413,413
0,34,406,406
0,28,420,420
0,22,413,413
0,22,423,423
0,45,253,253
0,31,222,222
0,43,233,233
0,38,308,308
0,26,267,267
0,33,417,417
0,35,502,502
0,20,486,486
0,11,461,461
0,21,466,466
0,37,527,527
0,37,540,540
0,38,666,666
0,34,659,659
0,33,567,567
0,35,539,539
0,22,559,559
0,36,552,552
0,24,523,523
0,29,523,523
0,26,548,548
0,24,569,569
0,30,545,545
0,39,537,537
0,25,537,537
0,43,544,544
0,32,542,542
0,30,569,569
0,32,538,538
0,24,456,456
0,25,467,467
0,27,445,445
0,43,475,475
0,27,433,433
0,39,451,451
0,17,430,430
0,23,329,329
0,24,287,287
0,20,315,315
0,24,284,284
0,36,324,324
0,33,383,383
0,19,527,527
0,22,495,495
0,35,452,452
0,30,504,504
0,28,433,433
0,51,658,658
0,39,707,706
0,28,525,526
0,26,552,552
0,47,551,551
0,32,517,517
0,35,518,518
0,36,527,527
0,61,535,535
0,39,563,563
0,46,557,557
0,46,496,496
0,43,568,568
0,43,543,543
0,33,537,537
0,44,530,530
0,59,536,536
0,54,553,553
0,41,503,503
0,42,457,457
0,44,442,442
0,24,446,446
0,22,436,436
0,27,470,470
0,24,346,346
0,23,254,254
0,17,243,243
0,36,237,237
0,29,240,240
0,24,232,232
0,36,333,333
0,35,441,441
0,38,436,436
0,28,448,448
0,41,447,447
0,40,518,518
0,18,583,583
0,18,620,620
0,19,622,622
0,22,629,629
0,24,561,561
0,6,511,511
0,38,529,529
0,27,504,504
0,21,516,516
0,23,523,523
0,48,515,515
0,17,510,510
0,12,509,509
0,43,519,519
0,44,513,513
0,19,514,514
0,28,525,525
0,27,476,476
0,44,447,447
0,53,439,439
0,52,437,437
0,53,430,430
0,50,403,403
0,19,258,258
0,28,256,256
0,33,252,252
0,26,241,241
0,22,243,243
0,32,254,254
0,32,383,383
0,21,458,458
0,25,425,425
0,21,435,435
0,31,430,430
0,32,590,590
0,33,645,645
0,27,612,612
0,22,595,595
0,18,602,602
0,44,559,559
0,49,510,510
0,32,517,517
0,31,525,525
0,43,507,507
0,30,515,515
0,25,530,530
0,28,515,515
0,29,551,551
0,31,511,511
0,35,517,517
0,28,514,514
0,43,526,526
0,44,475,475
0,35,439,439
0,38,433,433
0,29,436,436
0,28,437,437
0,29,372,372
0,26,248,248
0,25,252,252
0,28,259,259
0,20,243,243
0,17,232,232
0,18,247,247
0,19,426,426
0,36,462,462
0,51,483,483
0,21,436,436
0,23,416,416
0,31,430,430
0,47,583,583
0,21,633,633
0,29,632,632
0,29,639,639
0,28,537,537
0,32,520,520
0,20,535,535
0,26,510,510
0,33,521,521
0,30,514,514
0,23,525,525
0,39,516,516
0,34,519,519
0,28,515,515
0,34,526,526
0,29,518,518
0,14,513,513
0,25,438,438
0,29,438,438
0,30,432,432
0,21,437,437
0,17,437,437
0,35,433,433
0,23,282,282
0,15,244,244
0,27,242,242
0,57,247,247
0,14,226,226
0,39,325,325
0,41,458,458
0,45,442,442
0,26,444,444
0,280,428,428
0,38,417,417
0,49,470,470
0,21,639,639
0,19,633,633
0,52,645,645
0,250,576,576
0,19,512,512
0,33,530,530
0,40,517,517
0,36,525,525
0,108,513,513
0,205,498,498
0,46,512,512
0,17,517,517
0,17,524,524
0,57,466,466
0,244,396,396
0,14,438,438
0,27,291,291
0,36,265,265
0,41,246,246
0,87,240,240
0,169,258,258
0,20,253,253
0,28,50,50
0,50,53,53
0,38,56,56
0,47,49,49
0,10,32,32
0,37,54,54
0,19,104,104
0,29,250,250
0,12,244,244
0,14,247,247
0,29,309,309
0,24,469,469
0,17,445,445
0,21,451,451
0,16,455,455
0,36,456,456
0,27,453,453
0,53,472,472
0,57,455,455
0,20,452,452
0,26,446,446
0,23,436,436
0,16,433,433
0,12,434,434
0,11,443,443
0,25,451,451
0,26,239,239
0,15,240,240
0,27,243,243
0,29,246,246
0,25,46,46
0,26,27,27
0,59,58,58
0,52,48,48
0,13,37,37
0,17,43,43
0,19,43,43
0,30,230,230
0,22,253,253
0,24,238,238
0,27,288,288
0,21,453,453
0,19,463,463
0,32,468,468
0,46,467,467
0,42,464,464
0,49,464,464
0,49,460,460
0,43,445,445
0,23,445,445
0,15,434,434
0,23,440,440
0,10,437,437
0,16,447,447
0,22,444,444
0,19,463,463
0,32,386,386
0,20,223,223
0,34,267,267
0,38,251,251
0,58,209,209
2,56,70,68
3,33,85,82
1,55,78,77
0,27,90,90
3,32,86,83
1,26,96,95
2,34,100,98
0,29,230,230
4,16,280,276
0,19,269,269
1,29,332,330
2,36,302,301
3,35,461,458
1,57,488,487
0,37,500,500
2,60,462,460
3,32,474,471
1,37,486,485
0,18,428,428
1,12,460,459
5,26,472,467
0,27,456,456
0,22,447,447
4,17,431,427
1,27,464,463
1,39,449,448
0,16,460,460
5,29,376,371
0,32,268,268
0,38,241,241
1,51,255,254
5,21,260,255
0,28,125,125
0,28,24,24
1,39,31,30
5,38,81,76
0,28,72,72
0,20,35,35
2,14,177,175
3,26,323,320
1,30,266,265
1,15,229,228
1,19,276,275
3,48,396,393
0,35,488,488
2,48,500,498
2,36,467,465
2,31,480,478
0,23,469,469
2,20,483,481
2,38,485,483
2,39,434,432
0,23,464,464
2,28,466,464
3,34,448,445
1,27,460,459
1,36,485,484
1,35,446,445
2,41,327,325
2,35,266,264
1,36,270,269
1,33,267,266
2,12,253,251
2,33,222,220
1,27,58,57
1,35,70,69
3,38,82,79
0,13,79,79
2,17,89,87
0,24,79,79
4,29,106,102
1,37,278,277
1,24,279,278
1,25,285,284
2,23,275,273
1,28,278,277
2,35,405,403
2,28,482,480
1,41,501,500
0,19,498,498
3,46,489,486
2,29,487,485
1,12,485,484
0,8,521,521
2,31,503,501
3,26,470,467
0,18,483,483
2,39,523,521
3,26,520,517
0,34,546,546
0,35,548,548
3,39,341,338
1,50,359,358
2,40,473,471
0,24,619,619
2,49,640,638
0,32,624,624
3,18,404,401
2,14,192,190
0,50,108,108
1,43,67,66
3,38,78,75
2,37,115,113
0,20,82,82
1,39,100,99
4,54,112,108
0,43,58,58
1,44,54,53
1,37,172,171
4,38,255,251
0,32,266,266
0,27,247,247
6,28,246,240
2,34,230,228
0,39,243,243
1,24,252,251
5,25,256,251
2,39,259,257
0,23,250,250
1,43,254,253
0,39,252,252
0,57,252,252
0,50,264,264
0,48,244,244
0,21,256,256
0,36,260,260
0,34,253,253
0,14,247,247
0,24,70,70
0,44,47,47
0,37,54,54
0,19,42,42
0,24,49,49
0,39,52,52
0,46,48,48
0,47,121,121
0,53,274,274
0,70,276,276
0,33,236,236
0,34,236,236
0,56,239,239
0,35,376,376
0,21,472,472
0,32,464,464
0,44,473,473
0,45,445,445
0,19,462,462
0,32,459,459
0,16,419,419
0,30,429,429
0,35,448,448
0,28,424,424
0,48,443,443
0,24,422,422
0,37,428,428
0,35,262,262
0,21,261,261
0,17,245,245
0,33,278,278
0,52,254,254
0,38,247,247
0,38,85,85
0,40,43,43
0,23,29,29
0,27,36,36
0,37,34,34
0,28,182,182
0,44,258,258
0,23,227,227
0,24,242,242
0,38,226,226
0,28,243,243
0,24,234,234
0,38,335,335
0,62,471,471
0,30,474,474
0,31,464,464
0,30,462,462
0,14,441,441
0,24,455,455
0,33,457,457
0,18,449,449
0,30,447,447
0,12,423,423
0,32,450,450
0,37,406,406
0,32,238,238
0,39,261,261
0,46,258,258
0,53,263,263
0,41,259,259
0,42,263,263
0,40,265,265
0,27,77,77
0,32,56,56
0,31,47,47
0,25,40,40
0,19,43,43
0,11,206,206
0,21,251,251
0,48,263,263
0,48,265,265
0,36,262,262
0,48,263,263
0,54,270,270
0,25,386,386
0,17,465,465
0,27,460,460
0,22,449,449
0,25,454,454
0,12,454,454
0,19,451,451
0,254,418,418
0,31,506,506
0,69,460,460
0,40,465,465
0,56,457,457
0,62,323,323
0,271,290,290
0,33,247,247
0,30,242,242
0,35,250,250
0,47,258,258
0,84,240,240
0,209,219,219
0,23,34,34
0,26,38,38
0,16,33,33
0,84,53,53
0,211,200,200
0,23,247,247
0,44,257,257
0,35,246,246
0,86,249,249
0,86,246,246
0,131,240,240
0,30,406,406
0,37,469,469
0,33,460,460
0,38,454,454
0,36,461,461
0,18,461,461
0,16,461,461
0,30,466,466
0,42,450,450
0,31,470,470
0,48,460,460
0,28,430,430
0,46,335,335
0,37,257,257
0,19,241,241
0,37,265,265
0,42,250,250
0,23,253,253
0,31,258,258
0,48,173,173
0,28,36,36
0,19,28,28
0,58,66,66
0,40,104,104
0,31,240,240
0,50,263,263
0,24,248,248
0,27,253,253
0,10,244,244
0,11,245,245
0,28,248,248
0,19,236,236
0,29,290,290
0,40,461,461
0,37,445,445
0,31,448,448
0,21,452,452
0,46,467,467
0,35,455,455
0,28,460,460
0,32,463,463
0,34,471,471
0,24,450,450
0,18,263,263
0,23,257,257
0,14,252,252
0,22,252,252
0,586,246,246
0,902,213,213
0,851,233,233
0,742,220,220
0,750,195,195
0,932,185,185
0,1120,115,115
0,1198,62,62
0,1119,70,70
0,991,193,193
0,1048,230,230
0,1047,213,213
0,1013,192,192
0,1100,179,179
0,931,185,185
0,801,180,180
0,307,234,234
0,81,235,235
0,97,401,401
0,53,451,451
0,84,419,419
0,33,408,408
0,51,410,410
0,58,407,407
0,41,411,411
0,62,407,407
0,41,416,416
0,32,413,413
0,49,420,420
0,55,398,398
0,57,401,401
0,44,407,407
0,40,359,359
0,49,257,257
0,52,257,257
0,58,269,269
0,43,248,248
0,72,274,274
0,59,259,259
0,57,47,47
0,38,34,34
0,19,25,25
0,27,49,49
0,47,202,202
0,44,254,254
0,58,266,266
0,54,251,251
0,34,212,212
0,40,225,225
0,29,203,203
0,32,288,288
0,8,399,399
0,24,445,445
0,39,449,449
0,32,489,489
0,16,453,453
0,9,449,449
0,26,423,423
0,25,446,446
0,34,451,451
0,55,457,457
0,41,458,458
0,36,435,435
0,51,311,311
0,29,436,436
0,32,450,450
0,17,443,443
0,21,459,459
0,31,460,460
0,31,464,464
0,19,261,261
0,13,231,231
0,23,248,248
0,37,279,279
0,48,439,439
0,48,473,473
0,38,464,464
0,31,431,431
0,30,468,468
0,25,455,455
0,19,447,447
0,11,455,455
0,26,429,429
0,15,438,438
0,31,461,461
0,16,461,461
0,28,462,462
0,34,458,458
0,29,444,444
0,38,453,453
0,43,464,464
0,36,468,468
0,43,454,454
0,37,301,301
0,26,283,283
0,25,461,461
0,25,467,467
0,26,456,456
0,10,471,471
0,47,457,457
0,28,424,424
0,30,430,430
0,27,430,430
0,20,240,240
0,45,449,449
0,25,443,443
0,42,466,466
0,19,463,463
0,35,439,439
0,30,452,452
0,17,437,437
0,23,438,438
0,24,436,436
0,22,474,474
0,32,527,527
0,17,442,442
0,39,442,442
0,27,428,428
0,18,430,430
0,42,430,430
0,27,414,414
0,43,441,441
0,29,435,435
0,27,432,432
0,19,346,346
0,23,250,250
0,27,436,436
0,27,475,475
0,30,472,472
0,33,453,453
0,15,449,449
0,33,469,469
0,58,438,438
0,48,423,423
0,36,268,268
0,18,394,394
0,35,458,458
0,30,458,458
0,28,458,458
0,21,443,443
0,16,462,462
0,26,455,455
0,36,451,451
0,35,447,447
0,52,460,460
0,38,525,525
0,53,451,451
0,47,430,430
0,31,418,418
0,42,429,429
0,16,437,437
0,32,437,437
0,54,427,427
0,42,440,440
0,38,436,436
0,44,419,419
0,42,287,287
0,33,473,473
0,37,468,468
0,42,445,445
0,41,427,427
0,71,427,427
0,63,421,421
0,59,427,427
0,56,418,418
0,20,355,355
0,68,328,328
0,36,488,488
0,19,449,449
0,27,464,464
0,24,427,427
0,21,437,437
0,46,436,436
0,39,429,429
0,31,451,451
0,19,441,441
0,57,421,421
0,43,348,348
0,29,260,260
0,46,266,266
0,27,241,241
0,36,263,263
0,30,257,257
0,19,250,250
0,23,252,252
0,35,255,255
0,28,234,234
0,25,97,97
0,26,118,118
0,39,262,262
0,36,257,257
0,35,255,255
0,45,262,262
0,37,255,255
0,40,266,266
0,39,248,248
0,50,252,252
0,45,239,239
0,43,387,387
0,27,460,460
0,25,462,462
0,22,463,463
0,33,459,459
0,12,441,441
0,35,476,476
0,34,471,471
0,30,440,440
0,30,444,444
0,44,309,309
0,56,274,274
0,22,256,256
0,35,262,262
0,38,271,271
0,24,251,251
0,20,247,247
0,25,261,261
0,28,257,257
0,16,127,127
0,23,37,37
0,26,31,31
0,24,235,235
0,15,249,249
0,41,261,261
0,33,238,238
0,44,262,262
0,34,248,248
0,44,246,246
0,36,255,255
0,23,236,236
0,272,321,321
0,45,460,460
0,30,467,467
0,17,455,455
0,20,492,492
0,24,446,446
0,254,442,442
0,29,429,429
0,38,445,445
0,41,434,434
0,44,383,383
0,143,232,232
0,152,265,265
0,20,241,241
0,29,260,260
0,28,259,259
0,52,250,250
0,230,250,250
0,29,256,256
0,17,244,244
0,24,63,63
0,44,140,140
0,71,258,258
0,211,255,255
0,33,261,261
0,42,253,253
0,29,251,251
0,56,267,267
0,22,252,252
0,24,250,250
0,22,247,247
0,31,265,265
0,33,436,436
0,14,451,451
0,17,468,468
0,29,465,465
0,28,469,469
0,23,469,469
0,25,469,469
0,28,453,453
0,40,383,383
0,24,260,260
0,32,253,253
0,28,262,262
0,35,264,264
0,24,246,246
0,41,252,252
0,43,257,257
0,22,246,246
0,17,251,251
0,22,255,255
0,20,291,291
0,25,251,251
0,27,263,263
0,23,250,250
0,21,259,259
0,25,233,233
0,29,248,248
0,31,252,252
0,43,242,242
0,31,257,257
0,38,231,231
0,39,355,355
0,30,467,467
0,28,482,482
0,36,454,454
0,17,449,449
0,28,453,453
0,30,469,469
0,32,467,467
0,26,362,362
0,27,259,259
0,34,265,265
0,25,264,264
0,33,249,249
0,19,254,254
0,32,253,253
0,20,254,254
0,48,256,256
0,48,243,243
0,34,246,246
0,29,326,326
0,36,260,259
0,48,258,259
0,37,253,253
0,28,245,245
0,43,238,238
0,40,247,247
0,39,261,261
0,42,257,257
0,32,257,257
0,27,245,245
0,19,231,231
0,37,332,332
0,39,458,458
0,35,460,460
0,23,460,460
0,39,466,466
0,38,452,452
0,30,461,461
0,17,456,456
0,22,275,275
0,37,259,259
0,47,264,264
0,24,254,254
0,21,250,250
0,29,242,242
0,40,259,259
0,44,275,275
0,27,248,248
0,21,251,251
0,5,243,243
0,26,300,300
0,27,254,254
0,9,258,258
0,4,244,244
0,18,257,257
0,33,246,246
0,34,255,255
0,25,254,254
0,23,248,248
0,40,262,262
0,36,262,262
0,25,302,302
0,22,502,502
0,24,453,453
0,18,453,453
0,26,448,448
0,38,457,457
0,18,443,443
0,12,450,450
0,22,428,428
0,35,259,259
0,24,238,238
0,28,246,246
0,15,244,244
0,37,250,250
0,26,250,250
0,41,251,251
0,29,254,254
0,28,244,244
0,6,236,236
0,22,235,235
0,21,85,85
0,19,246,246
0,9,244,244
0,23,252,252
0,38,245,245
0,34,240,240
0,38,253,253
0,33,257,257
0,66,270,270
0,38,252,252
0,47,254,254
0,31,366,366
0,25,455,455
0,12,462,462
0,34,464,463
0,30,464,465
0,32,458,458
0,28,449,449
0,36,459,459
0,23,470,470
0,37,271,271
0,41,257,257
0,14,248,248
0,55,265,265
0,27,265,265
0,48,270,270
0,25,255,255
0,21,254,254
0,16,254,254
0,32,242,242
0,52,151,151
0,34,193,193
0,24,248,248
0,27,245,245
0,18,258,258
0,25,253,253
0,27,249,249
0,29,237,237
1,49,262,261
0,29,246,246
0,34,287,287
0,24,408,408
0,13,446,446
0,9,450,450
0,25,454,454
0,36,459,459
0,7,438,438
0,18,461,461
0,23,461,461
0,20,463,463
0,39,401,401
0,28,246,246
0,42,240,240
0,50,260,260
0,28,249,249
0,41,268,268
0,29,253,253
0,30,237,237
0,44,253,253
0,40,249,249
0,42,165,165
0,18,79,79
0,8,220,220
0,32,251,251
0,34,254,253
0,33,254,255
0,23,235,235
0,39,245,245
0,32,247,247
0,8,234,234
0,27,249,249
0,32,439,439
0,30,453,453
0,15,433,433
0,24,437,437
0,38,456,456
0,14,460,460
0,12,443,443
0,17,457,457
0,24,457,457
0,38,462,462
0,23,266,266
0,43,255,255
0,40,244,244
0,24,231,231
0,37,250,250
0,41,263,263
0,26,244,244
0,11,240,240
0,26,246,246
0,28,57,57
0,28,36,36
0,19,28,28
0,31,47,47
0,29,231,231
0,35,252,252
0,33,240,240
0,33,243,243
0,23,239,239
0,21,252,252
0,26,284,284
0,23,234,234
1,54,400,399
3,16,464,461
1,40,430,429
2,47,441,439
1,27,452,451
1,25,457,456
0,40,444,444
2,32,442,440
1,39,454,453
1,38,417,416
0,39,422,422
2,36,410,408
2,44,284,282
0,34,245,245
1,35,291,290
2,39,458,456
2,32,453,451
1,34,422,421
1,32,418,417
2,24,410,408
2,35,412,410
0,28,245,245
2,18,239,237
2,35,251,249
2,22,365,363
1,33,438,437
0,52,413,413
3,41,415,412
2,29,428,426
1,22,409,408
0,24,426,426
3,13,419,416
2,38,643,641
1,25,594,593
0,20,614,614
2,20,626,624
3,14,607,604
1,20,538,537
0,33,530,530
3,21,480,477
2,20,544,542
0,34,494,494
1,17,410,409
4,26,413,408
1,18,412,412
0,23,424,424
0,17,274,274
5,24,244,239
1,25,228,227
0,17,229,229
0,12,219,219
4,21,232,228
2,275,239,237
0,29,116,116
1,37,48,47
3,27,53,50
1,31,54,53
1,220,76,75
2,56,286,284
2,28,234,232
1,32,245,244
0,22,236,236
3,20,225,222
1,253,233,232
2,20,225,223
0,9,348,348
2,27,437,435
2,24,420,418
1,55,412,411
2,215,418,416
1,19,424,423
2,19,438,436
3,38,453,450
3,54,446,443
0,218,438,438
1,32,435,434
2,23,429,427
3,12,433,430
1,18,278,277
0,28,233,233
2,17,224,222
2,46,243,241
2,24,241,239
2,25,236,234
1,21,230,229
1,25,82,81
1,12,27,26
3,26,40,37
1,16,64,63
1,28,64,63
1,34,28,27
4,21,170,166
0,13,240,240
2,32,245,243
0,18,237,237
3,39,282,279
1,29,421,420
2,31,471,469
0,22,591,591
3,13,633,630
0,20,725,725
1,15,676,675
1,25,684,683
2,28,589,587
0,51,605,605
1,40,534,533
2,24,513,511
4,18,486,482
0,11,499,499
1,30,478,477
1,32,451,450
3,41,436,433
1,35,496,495
0,18,356,356
2,22,254,252
1,15,234,233
3,15,242,239
1,14,255,254
1,26,278,277
2,37,244,242
1,18,245,244
7,18,248,241
0,28,229,229
2,16,233,231
1,28,346,345
1,360,417,416
0,769,384,384
1,871,379,378
0,830,293,293
0,715,280,280
0,794,345,345
0,891,320,320
0,925,320,320
0,960,275,275
0,926,269,269
0,855,386,386
0,841,386,386
0,822,407,407
0,819,345,345
0,872,283,283
0,778,377,377
0,852,342,342
0,876,339,339
0,504,700,700
0,146,998,998
0,22,474,474
0,36,474,474
0,25,474,474
0,31,469,469
0,53,480,480
0,32,474,474
0,49,485,485
0,40,471,471
0,28,452,452
0,39,395,395
0,47,387,387
0,44,400,400
0,15,409,409
0,14,399,399
0,25,237,237
0,24,253,253
0,21,227,227
0,18,234,234
0,12,236,236
0,36,226,226
0,22,210,210
0,38,351,351
0,25,396,396
0,17,405,405
0,46,469,469
0,25,627,627
0,15,607,607
0,22,611,611
0,17,589,589
0,21,533,533
0,18,497,497
0,17,498,498
0,15,507,507
0,18,523,523
0,24,514,514
0,17,509,509
0,32,524,524
0,33,521,521
0,24,513,513
0,35,521,521
0,21,519,519
0,20,505,505
0,18,505,505
0,21,507,507
0,26,486,486
0,17,470,470
0,14,505,505
0,26,523,523
0,49,508,508
0,19,422,422
0,16,418,418
0,20,434,434
0,16,430,430
0,27,430,430
0,39,415,415
0,26,417,417
0,27,463,463
0,30,503,503
0,17,499,499
0,12,543,543
0,22,611,611
0,16,605,605
0,23,615,615
0,26,613,613
0,21,619,619
0,7,607,607
0,18,614,614
0,18,608,608
0,32,619,619
0,32,606,606
0,19,520,520
0,25,507,507
0,26,510,510
0,18,516,516
0,27,511,511
0,41,510,510
0,33,518,518
0,16,507,507
0,19,506,506
0,10,494,494
0,22,491,491
0,36,539,539
0,25,592,592
0,27,525,525
0,16,507,507
0,26,482,482
0,30,420,420
0,27,435,435
0,27,439,439
0,35,424,424
0,28,427,427
0,19,438,438
0,15,443,443
0,21,444,444
0,21,503,503
0,22,515,515
0,19,502,502
0,15,548,548
0,24,611,611
0,29,618,618
0,15,600,600
0,15,597,597
0,15,610,610
0,16,607,607
0,30,614,614
0,17,568,568
0,33,513,513
0,17,516,516
0,22,509,509
0,8,505,505
0,24,511,511
0,17,511,511
0,34,512,512
0,22,514,514
0,45,517,517
0,34,499,499
0,29,488,488
0,25,494,494
0,19,587,587
0,49,622,622
0,22,522,522
0,36,510,510
0,19,514,514
0,26,505,505
0,18,436,436
0,23,424,424
0,27,432,432
0,24,426,426
0,38,408,408
0,28,423,423
0,43,401,401
0,16,550,550
0,11,501,501
0,29,506,506
0,50,506,506
0,36,549,549
0,31,605,605
0,24,599,599
0,39,600,600
0,29,605,605
0,23,602,602
0,36,594,594
0,36,577,577
0,40,506,506
0,30,513,513
0,33,498,498
0,30,507,507
0,27,513,513
0,36,497,497
0,54,509,509
0,46,510,510
0,40,503,503
0,31,519,519
0,37,504,504
0,35,500,500
0,31,480,480
0,36,583,583
0,44,533,533
0,32,525,525
0,16,598,598
0,20,590,590
0,18,604,604
0,30,579,579
0,33,566,566
0,38,566,566
0,41,540,540
0,37,570,570
0,27,680,680
0,20,650,650
1,25,660,659
0,24,764,764
1,48,865,864
1,44,924,923
1,32,944,943
0,27,1043,1043
