timestamp,deletions,insertions,reads,updates
1596265527,877992016,927180082,8222239899,6415003130
1596265528,877992018,927180118,8222240508,6415003737
1596265529,877992019,927180159,8222241137,6415004365
1596265530,877992020,927180186,8222241770,6415004997
1596265531,877992022,927180212,8222242404,6415005629
1596265532,877992023,927180241,8222243012,6415006236
1596265533,877992024,927180278,8222243559,6415006782
1596265534,877992025,927180315,8222244040,6415007262
1596265535,877992027,927180356,8222244537,6415007757
1596265536,877992029,927180380,8222245028,6415008246
1596265537,877992030,927180414,8222245507,6415008724
1596265538,877992031,927180445,8222245995,6415009211
1596265539,877992038,927180490,8222246433,6415009642
1596265540,877992039,927180509,8222246839,6415010047
1596265541,877992040,927180562,8222247255,6415010462
1596265542,877992041,927180599,8222247484,6415010690
1596265543,877992041,927180625,8222247714,6415010920
1596265544,877992041,927180648,8222247902,6415011108
1596265545,877992041,927180685,8222247922,6415011128
1596265546,877992041,927180705,8222247932,6415011138
1596265547,877992041,927180746,8222247961,6415011167
1596265548,877992041,927180792,8222247985,6415011191
1596265549,877992041,927180837,8222248020,6415011226
1596265550,877992041,927180875,8222248042,6415011248
1596265551,877992041,927180910,8222248057,6415011263
1596265552,877992041,927180950,8222248077,6415011283
1596265553,877992041,927180979,8222248251,6415011457
1596265554,877992041,927181007,8222248472,6415011678
1596265555,877992041,927181037,8222248694,6415011900
1596265556,877992041,927181084,8222249070,6415012276
1596265557,877992041,927181109,8222249504,6415012710
1596265558,877992041,927181149,8222249953,6415013159
1596265559,877992041,927181179,8222250396,6415013602
1596265560,877992041,927181204,8222250832,6415014038
1596265561,877992041,927181228,8222251269,6415014475
1596265562,877992041,927181255,8222251681,6415014887
1596265563,877992041,927181299,8222252114,6415015320
1596265564,877992041,927181354,8222252553,6415015759
1596265565,877992041,927181376,8222252978,6415016184
1596265566,877992041,927181405,8222253393,6415016599
1596265567,877992041,927181676,8222253812,6415017018
1596265568,877992041,927181751,8222254236,6415017442
1596265569,877992041,927181786,8222254666,6415017872
1596265570,877992041,927181824,8222255121,6415018327
1596265571,877992041,927181852,8222255573,6415018779
1596265572,877992041,927182096,8222255958,6415019164
1596265573,877992041,927182140,8222256197,6415019403
1596265574,877992041,927182166,8222256417,6415019623
1596265575,877992041,927182194,8222256616,6415019822
1596265576,877992041,927182215,8222256635,6415019841
1596265577,877992041,927182289,8222256657,6415019863
1596265578,877992041,927182539,8222256681,6415019887
1596265579,877992041,927182581,8222256702,6415019908
1596265580,877992041,927182596,8222256712,6415019918
1596265581,877992041,927182626,8222256735,6415019941
1596265582,877992041,927182687,8222256755,6415019961
1596265583,877992041,927182846,8222256922,6415020128
1596265584,877992041,927182964,8222257139,6415020345
1596265585,877992041,927182997,8222257358,6415020564
1596265586,877992041,927183035,8222257589,6415020795
1596265587,877992041,927183069,8222257994,6415021200
1596265588,877992041,927183152,8222258437,6415021643
1596265589,877992041,927183360,8222258857,6415022063
1596265590,877992041,927183392,8222259284,6415022490
1596265591,877992041,927183428,8222259705,6415022911
1596265592,877992041,927183465,8222260138,6415023344
1596265593,877992041,927183507,8222260566,6415023772
1596265594,877992041,927183532,8222260992,6415024198
1596265595,877992041,927183553,8222261404,6415024610
1596265596,877992041,927183572,8222261834,6415025040
1596265597,877992041,927183606,8222262271,6415025477
1596265598,877992041,927183643,8222262712,6415025918
1596265599,877992041,927183680,8222263150,6415026356
1596265600,877992041,927183726,8222263586,6415026792
1596265601,877992041,927183783,8222264020,6415027226
1596265602,877992041,927183816,8222264435,6415027641
1596265603,877992041,927183872,8222264678,6415027884
1596265604,877992041,927183913,8222264914,6415028120
1596265605,877992041,927183952,8222265150,6415028356
1596265606,877992041,927183996,8222265291,6415028497
1596265607,877992041,927184026,8222265308,6415028514
1596265608,877992041,927184065,8222265332,6415028538
1596265609,877992041,927184088,8222265350,6415028556
1596265610,877992041,927184115,8222265372,6415028578
1596265611,877992041,927184137,8222265389,6415028595
1596265612,877992041,927184163,8222265407,6415028613
1596265613,877992041,927184189,8222265426,6415028632
1596265614,877992041,927184229,8222265615,6415028821
1596265615,877992041,927184270,8222265851,6415029057
1596265616,877992041,927184312,8222266062,6415029268
1596265617,877992041,927184336,8222266275,6415029481
1596265618,877992041,927184365,8222266482,6415029688
1596265619,877992041,927184390,8222266882,6415030088
1596265620,877992041,927184418,8222267311,6415030517
1596265621,877992041,927184458,8222267738,6415030944
1596265622,877992041,927184498,8222268294,6415031500
1596265623,877992041,927184535,8222268913,6415032119
1596265624,877992041,927184561,8222269533,6415032739
1596265625,877992041,927184592,8222270139,6415033345
1596265626,877992041,927184613,8222270700,6415033906
1596265627,877992041,927184660,8222271202,6415034408
1596265628,877992041,927184712,8222271700,6415034906
1596265629,877992041,927184748,8222272198,6415035404
1596265630,877992041,927184808,8222272713,6415035919
1596265631,877992041,927184846,8222273225,6415036431
1596265632,877992041,927184875,8222273744,6415036950
